OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
blake,SHA-3,Secure Hash Standard,is-a-property,bool,,crypto_blake
blake,HAIFA,iteration mode,is-a-property,bool,,crypto_blake
blake,Lake,internal structure,is-a-property,bool,,crypto_blake
blake,ChaCha,compression algorithm,is-a-property,bool,,crypto_blake
blake,message,,is-a-property,set,"224,256,384,512",crypto_blake
blake,message length,,is-a-property,number,,crypto_blake
blake,blake-256,,is-a-component,bool,,crypto_blake
blake,blake-512,,is-a-component,bool,,crypto_blake
blake,blake-224,,is-a-component,bool,,crypto_blake
blake,blake-384,,is-a-component,bool,,crypto_blake
BLAKE-256,word,,is-a-property,number,,crypto_blake
BLAKE-256,chain value,,is-a-property,number,,crypto_blake
BLAKE-256,message blocks,,is-a-property,number,,crypto_blake
BLAKE-256,salt value,,is-a-property,number,,crypto_blake
BLAKE-256,counter value,,is-a-property,number,,crypto_blake
BLAKE-256,IV0,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV1,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV2,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV3,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV4,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV5,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV6,initial values,is-a-property,number,,crypto_blake
BLAKE-256,IV7,initial values,is-a-property,number,,crypto_blake
BLAKE-256,c0,constants,is-a-property,number,,crypto_blake
BLAKE-256,c1,constants,is-a-property,number,,crypto_blake
BLAKE-256,c2,constants,is-a-property,number,,crypto_blake
BLAKE-256,c3,constants,is-a-property,number,,crypto_blake
BLAKE-256,c4,constants,is-a-property,number,,crypto_blake
BLAKE-256,c5,constants,is-a-property,number,,crypto_blake
BLAKE-256,c6,constants,is-a-property,number,,crypto_blake
BLAKE-256,c7,constants,is-a-property,number,,crypto_blake
BLAKE-256,c8,constants,is-a-property,number,,crypto_blake
BLAKE-256,c9,constants,is-a-property,number,,crypto_blake
BLAKE-256,c10,constants,is-a-property,number,,crypto_blake
BLAKE-256,c11,constants,is-a-property,number,,crypto_blake
BLAKE-256,c12,constants,is-a-property,number,,crypto_blake
BLAKE-256,c13,constants,is-a-property,number,,crypto_blake
BLAKE-256,c14,constants,is-a-property,number,,crypto_blake
BLAKE-256,c15,constants,is-a-property,number,,crypto_blake
BLAKE-256,chain ,input,is-a-property,bool,,crypto_blake
BLAKE-256,message,input,is-a-property,bool,,crypto_blake
BLAKE-256,salt,input,is-a-property,bool,,crypto_blake
BLAKE-256,counter,input,is-a-property,bool,,crypto_blake
BLAKE-256,new chain,output,is-a-property,bool,,crypto_blake
BLAKE-256,initilization,,is-a-property,bool,,crypto_blake
BLAKE-256,round function,,is-a-property,bool,,crypto_blake
BLAKE-256,compression rounds,,is-a-property,number,,crypto_blake
BLAKE-256,finalization,,is-a-property,bool,,crypto_blake
BLAKE-512,word,,is-a-property,number,,crypto_blake
BLAKE-512,chain value,,is-a-property,number,,crypto_blake
BLAKE-512,message blocks,,is-a-property,number,,crypto_blake
BLAKE-512,salt value,,is-a-property,number,,crypto_blake
BLAKE-512,counter value,,is-a-property,number,,crypto_blake
BLAKE-512,IV0,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV1,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV2,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV3,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV4,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV5,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV6,initial values,is-a-property,number,,crypto_blake
BLAKE-512,IV7,initial values,is-a-property,number,,crypto_blake
BLAKE-512,c0,constants,is-a-property,number,,crypto_blake
