OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
JH,SHA-3,Secure Hash Standard,is-a-property,bool,"yes,no",crypto_jh
JH,JH-224,,is-a-property,bool,"yes,no",crypto_jh
JH,JH-256,,is-a-property,bool,"yes,no",crypto_jh
JH,JH-384,,is-a-property,bool,"yes,no",crypto_jh
JH,JH-512,,is-a-property,bool,"yes,no",crypto_jh
JH,Sboxes,S-boxes,is-a-function,bool,"yes,no",crypto_jh
JH,SPN,substitution-permutation Network,is-a-property,bool,"yes,no",crypto_jh
JH,MDS,maximum distance sperable,is-a-property,bool,"yes,no",crypto_jh
JH,AES,,is-a-property,bool,"yes,no",crypto_jh
JH,bit-slice,,is-a-property,bool,"yes,no",crypto_jh
JH,Serpent,,is-a-property,bool,"yes,no",crypto_jh
JH,Linear Transformation,L,is-a-function,bool,"yes,no",crypto_jh
JH,Permutation,"Pd, _d,Pd_, _d",is-a-function,bool,"yes,no",crypto_jh
JH,Rounding function,R,is-a-function,bool,"yes,no",crypto_jh
JH,Bijective function,Ed,is-a-function,bool,"yes,no",crypto_jh
JH,Compression function,Fd,is-a-function,bool,"yes,no",crypto_jh
Sboxes,bit,,is-a-property,set,4x4,crypto_jh
Sboxes,number,,is-a-property,number,2,crypto_jh
Linear transformation,MDS,Maximum Distance Seperable,is-a-property,string ,"(4,2,3)",crypto_jh
Linear transformation,GF(2^4),,is-a-property,bool,"yes,no",crypto_jh
Permutation,Pd,,is-a-property,bool,"yes,no",crypto_jh
Permutation,_d,,is-a-property,bool,"yes,no",crypto_jh
Permutation,Pd_,,is-a-property,bool,"yes,no",crypto_jh
Permutation,_d,,is-a-property,bool,"yes,no",crypto_jh
Rounding Function,Sbox layer,,is-a-property,bool,"yes,no",crypto_jh
Rounding Function,linear transformation layer,,is-a-property,bool,"yes,no",crypto_jh
Rounding Function,permutation layer,,is-a-property,bool,"yes,no",crypto_jh
Rounding Function,input,,is-a-property,number,number,crypto_jh
Rounding Function,output,,is-a-property,number,number,crypto_jh
Bijective Function,d-dimensional array,,is-a-property,bool,"yes,no",crypto_jh
Bijective Function,grouping,,is-a-property,bool,"yes,no",crypto_jh
Bijective Function,de-grouping,,is-a-property,bool,"yes,no",crypto_jh
Bijective Function,SPN,,is-a-property,bool,"yes,no",crypto_jh
Bijective Function,MDS,,is-a-property,bool,"yes,no",crypto_jh
Compression Function,Message block,M,is-a-property,bool,"yes,no",crypto_jh
