OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
Memory Controller,FSM,Finite State Machine,is-a-property,boolean,yes/no,mem_ctlr
Memory Controller,LocalLink, LL protocol,is-a-property,boolean,yes/no,mem_ctlr
Memory Controller,Normal Mode,,is-a-function,boolean,yes/no,mem_ctlr
Memory Controller,Passthrough Mode,,is-a-function,boolean,yes/no,mem_ctlr
Memory Controller,Burst Mode,,is-a-function,boolean,yes/no,mem_ctlr
Memory Controller,Data IN,,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,Data OUT,,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,Data BE,Data byte enabled,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,ADDR,Memory Address,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,RD EN,Read Enable,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,WR EN,Write Enable,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,ACK,Acknowledge,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,LLTX,LL transmit ,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,LLRX,LL receive ,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,clk,clock,is-a-signal,boolean,yes/no,mem_ctlr
Memory Controller,reset_b,reset,is-a-signal,boolean,yes/no,mem_ctlr
Transactions,Write Request,,is-a-property,boolean,yes/no,mem_ctlr
Transactions,Write Acknowledge, Write Ack,is-a-property,boolean,yes/no,mem_ctlr
Transactions,Read Request,,is-a-property,boolean,yes/no,mem_ctlr
Transactions,Read Acknowledge,Read Ack,is-a-property,boolean,yes/no,mem_ctlr
Packet,Destination,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Source,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Length,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Base Address,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Transaction Type,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Transaction ID,,is-a-property,boolean,yes/no,mem_ctlr
Packet,Checksum,,is-a-property,boolean,yes/no,mem_ctlr
Normal Mode,Normal Mode,,is-a-property,boolean,yes/no,mem_ctlr
Passthrough Mode,Passthrough Mode,,is-a-property,boolean,yes/no,mem_ctlr
Burst Mode,Burst Mode,,is-a-property,boolean,yes/no,mem_ctlr
