feature,type,attribute,dic
"read acknowledge",bool,"no",mem_ctlr
"write acknowledge",bool,"no",mem_ctlr
"llrx",bool,"no",mem_ctlr
"lltx",bool,"no",mem_ctlr
"wr en",bool,"no",mem_ctlr
"rd en",bool,"no",mem_ctlr
"data be",bool,"no",mem_ctlr
"fsm",bool,"no",mem_ctlr
"message block",bool,"no",crypto_jh
"spn",bool,"no",crypto_jh
"de grouping",bool,"no",crypto_jh
"grouping",bool,"no",crypto_jh
"d dimensional array",bool,"no",crypto_jh
"permutation layer",bool,"no",crypto_jh
"linear transformation layer",bool,"no",crypto_jh
"sbox layer",bool,"no",crypto_jh
"pd_",bool,"no",crypto_jh
"_d",bool,"no",crypto_jh
"pd",bool,"no",crypto_jh
"mds",bool,"no",crypto_jh
"compression function",bool,"no",crypto_jh
"bijective function",bool,"no",crypto_jh
"rounding function",bool,"no",crypto_jh
"permutation",bool,"no",crypto_jh
"linear transformation",bool,"no",crypto_jh
"serpent",bool,"no",crypto_jh
"bit slice",bool,"no",crypto_jh
"aes",bool,"no",crypto_jh
"sboxes",bool,"no",crypto_jh
"jh 512",bool,"no",crypto_jh
"jh 384",bool,"no",crypto_jh
"jh 256",bool,"no",crypto_jh
"jh 224",bool,"no",crypto_jh
"finalization",bool,"no",crypto_blake
"compression rounds",bool,"no",crypto_blake
"round function",bool,"no",crypto_blake
"initilization",bool,"no",crypto_blake
"new chain",bool,"no",crypto_blake
"salt",bool,"no",crypto_blake
"chain",bool,"no",crypto_blake
"c15",bool,"no",crypto_blake
"c14",bool,"no",crypto_blake
"c13",bool,"no",crypto_blake
"c12",bool,"no",crypto_blake
"c10",bool,"no",crypto_blake
"c9",bool,"no",crypto_blake
"c8",bool,"no",crypto_blake
"c7",bool,"no",crypto_blake
"c6",bool,"no",crypto_blake
"iv7",bool,"no",crypto_blake
"iv6",bool,"no",crypto_blake
"iv5",bool,"no",crypto_blake
"iv4",bool,"no",crypto_blake
"iv3",bool,"no",crypto_blake
"iv2",bool,"no",crypto_blake
"iv1",bool,"no",crypto_blake
"iv0",bool,"no",crypto_blake
"counter value",bool,"no",crypto_blake
"salt value",bool,"no",crypto_blake
"message blocks",bool,"no",crypto_blake
"chain value",bool,"no",crypto_blake
"blake 384",bool,"no",crypto_blake
"blake 224",bool,"no",crypto_blake
"blake 512",bool,"no",crypto_blake
"blake 256",bool,"no",crypto_blake
"chacha",bool,"no",crypto_blake
"haifa",bool,"no",crypto_blake
"interrupt clear",bool,"no",intr_ctlr
"interrupt set",bool,"no",intr_ctlr
"masked interrupt",bool,"no",intr_ctlr
"raw interrupt",bool,"no",intr_ctlr
"interrupt acknowledge",bool,"no",intr_ctlr
"vectored",bool,"no",intr_ctlr
"polling",bool,"no",intr_ctlr
"nesting",bool,"no",intr_ctlr
"idim flag",bool,"no",zpu
"zpu interrupt acknowledge",bool,"no",zpu
"interrupt vector address",bool,"no",zpu
"memory mapped i/o",bool,"no",zpu
"neg",bool,"no",zpu
"neq",bool,"no",zpu
"eq",bool,"no",zpu
"callpcrel",bool,"no",zpu
"ashiftright",bool,"no",zpu
"ashiftleft",bool,"no",zpu
"lshiftright",bool,"no",zpu
"div",bool,"no",zpu
"mult",bool,"no",zpu
"neqbranch",bool,"no",zpu
"eqbranch",bool,"no",zpu
"ulessthanprequal",bool,"no",zpu
"ulessthan",bool,"no",zpu
"lessthanequal",bool,"no",zpu
"lessthan",bool,"no",zpu
"storeh",bool,"no",zpu
"loadh",bool,"no",zpu
"storeb",bool,"no",zpu
"loadb",bool,"no",zpu
"xor",bool,"no",zpu
"poppcrel",bool,"no",zpu
"pushspadd",bool,"no",zpu
"nop",bool,"no",zpu
"flip",bool,"no",zpu
"popsp",bool,"no",zpu
"pushsp",bool,"no",zpu
"poppc",bool,"no",zpu
"pushpc",bool,"no",zpu
"addsp",bool,"no",zpu
"loadsp",bool,"no",zpu
"storesp",bool,"no",zpu
"breakpoint",bool,"no",zpu
"single port memory interface",bool,"no",zpu
"microcode",bool,"no",zpu
"zpu instruction",bool,"no",zpu
"zero operand",bool,"no",zpu
"memory transaction latency",bool,"no",zpu
"tuser",bool,"no",axi
"tid",bool,"no",axi
"tkeep",bool,"no",axi
"tstrb",bool,"no",axi
"tdata",bool,"no",axi
"resetn",bool,"no",axi
"tuser trim",bool,"no",axi
"tuser zero padding",bool,"no",axi
"null byte",bool,"no",axi
"multiple data streams",bool,"no",axi
"shares wires",bool,"no",axi
"side band signaling",bool,"no",axi
"parity",bool,"no",axi
"defined packet length",bool,"no",axi
"transfer merging",bool,"no",axi
"transfer interleaving",bool,"no",axi
"packet boundary",bool,"no",axi
"ordered transfers",bool,"no",axi
"interleaving",bool,"no",axi
"data stream",bool,"no",axi
"frame",bool,"no",axi
"position byte",bool,"no",axi
"same data width",bool,"no",axi
"uni directional",bool,"no",axi
"direct connection",bool,"no",axi
