OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
Timer,16bit counters ,16 bit timers,is-a-property,integer,integer,timer
Timer,32bit counters,32 bit timers,is-a-property,integer,integer,timer
Timer,PLB interface,,is-a-property,bool,"yes,no",timer
Timer,AMBA APB interface,,is-a-property,bool,"yes,no",timer
Timer,Binary Counting,,is-a-property,bool,"yes,no",timer
Timer,BCD Counting,Binary Codeded Decimal,is-a-property,bool,"yes,no",timer
Timer,Count Up,,is-a-property,bool,"yes,no",timer
Timer,Count Down,,is-a-property,bool,"yes,no",timer
Timer,Modes,,is-a-property,integer,"yes,no",timer
Timer,Read-Back Command,Status Read Back,is-a-property,bool,"yes,no",timer
Timer,Counter Latch Command,,is-a-property,bool,"yes,no",timer
Timer,Clock Frequency,,is-a-property,number,number,timer
Timer,Clock,,is-a-property,set,"synchronous, asynchronous",timer
Timer,CERDIP Package,,is-a-property,bool,"yes,no",timer
Timer,CERDIP Pin Count,,is-a-property,integer,integer,timer
Timer,PLCC Package,Plastic Leaded Chip Carrier,is-a-property,bool,"yes,no",timer
Timer,PLCC Pid Count,,is-a-property,integer,integer,timer
Timer,TTL Compliant,,is-a-property,bool,"yes,no",timer
Timer,Supply Voltage,VCC,is-a-property,range,range,timer
Timer,Input/Output Voltage,VIN,is-a-property,range,range,timer
Timer,Operating Temperature,TOP,is-a-property,range,range,timer
Timer,Storage Temperature,TSTG,is-a-property,range,range,timer
Timer,alarm,,is-a-property,bool,"yes,no",timer
Timer,24-Hour Clock,AM/PM,is-a-property,bool,"yes,no",timer
Modes,Continuous,,is-a-property,bool,"yes,no",timer
Modes,Single-Shot,,is-a-property,bool,"yes,no",timer
Modes,Frequency Comparison,,is-a-property,bool,"yes,no",timer
Modes,Pulse Width Comparison,,is-a-property,bool,"yes,no",timer
Modes,Hardware Retriggerable One-Shot,,is-a-property,bool,"yes,no",timer
Modes,Rate Generator,,is-a-property,bool,"yes,no",timer
Modes,Square Wave Mode,,is-a-property,bool,"yes,no",timer
Modes,Software Triggered Strobe,,is-a-property,bool,"yes,no",timer
Modes,Hardware Triggered Strobe,,is-a-property,bool,"yes,no",timer
Data Bus Buffer,Data Bits,,is-a-property,number,number,timer
Data Bus Buffer,States,,is-a-property,number,number,timer
Data Bus Buffer,bi-direction,,is-a-property,bool,"yes,no",timer
