OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
uart,compliance,compliant,is-a-property,set,"16550, 8250",uart
uart,data bits,bits per character,is-a-property,number,"5,6,7,8",uart
uart,stop bits,,is-a-property,number,"1,1.5,2",uart
uart,parity,,is-a-property,set,"even,odd,stick",uart
uart,transfer rate minimum,,is-a-property,number,number,uart
uart,transfer rate maximum,,is-a-property,number,number,uart
uart,handshaking,,is-a-property,set,"hardware,software",uart
uart,line break,break event,is-a-property,bool,"yes,no",uart
uart,simplex,,is-a-property,bool,"yes,no",uart
uart,duplex,,is-a-property,bool,"yes,no",uart
uart,signal inversion,invert logic,is-a-property,bool,"yes,no",uart
uart,clear to send,CTS,is-a-property,bool,"yes,no",uart
uart,character,,is-a-input-label,bool,"yes,no",uart
uart,input register,,is-a-property,bool,"yes,no",uart
uart,output register,,is-a-property,bool,"yes,no",uart
uart,shift register,,is-a-property,bool,"yes,no",uart
uart,control register,,is-a-property,bool,"yes,no",uart
uart,status register,,is-a-property,bool,"yes,no",uart
uart,divisor latch,,is-a-property,bool,"yes,no",uart
uart,programmable,can be programmed,is-a-property,bool,"yes,no",uart
uart,interrupt controller,,is-a-function,bool,"yes,no",uart
uart,baud rate generator,,is-a-function,bool,"yes,no",uart
uart,serial interface,,is-a-property,bool,"yes,no",uart
uart,transmitter,,is-a-function,bool,"yes,no",uart
uart,receiver,,is-a-function,bool,"yes,no",uart
uart,reset,,is-a-property,bool,"yes,no",uart
uart,clear to send,,is-a-property,bool,"yes,no",uart
uart,carrier detect,,is-a-property,bool,"yes,no",uart
uart,dma interface,,is-a-property,bool,"yes,no",uart
uart,FIFO,buffer,is-a-property,bool,"yes,no",uart
uart,FIFO size,,is-a-property,number,"16,32,64,128",uart
uart,transmit buffer,,is-a-property,bool,"yes,no",uart
uart,receive buffer,,is-a-property,bool,"yes,no",uart
uart,flow control,,is-a-property,bool,"yes,no",uart
uart,bi-sync,,is-a-property,bool,"yes,no",uart
transmitter,serialization,,is-a-property,bool,"yes,no",uart
transmitter,data bits,,is-a-property,number,number,uart
transmitter,parity,,is-a-property,bool,"yes,no",uart
transmitter,stop bits,,is-a-property,number,number,uart
transmitter,interrupt,,is-a-operation,bool,"yes,no",uart
transmitter,buffering,,is-a-proplery,bool,"yes,no",uart
transmitter,buffer size,,is-a-property,number,number,uart
receiver,start bit,,is-a-property,bool,"yes,no",uart
receiver,rate,,is-a-property,number,number,uart
receiver,samples per bit,,is-a-property,number,2,uart
receiver,cycles per bit,,is-a-property,number,16,uart
receiver,resynchronize,,is-a-property,set,"start, rising, falling",uart
receiver,buffering,,is-a-property,set,"single, double",uart
receiver,buffer size,,is-a-property,number,1,uart
receiver,reject,filter,is-a-property,bool,"yes,no",uart
receiver,interrupt,,is-a-operation,bool,"yes,no",uart
reciever,fifo,,is-a-property,bool,"yes,no",uart
interface,bus width,data buses,is-a-property,bool,"yes,no",uart
interface,clear to send,,is-a-property,bool,"yes,no",uart
interface,overflow,,is-a-property,bool,"yes,no",uart
interface,ready,,is-a-property,bool,"yes,no",uart
interface,status,,is-a-property,bool,"yes,no",uart
baud generator,divisor latch,,is-a-property,bool,"yes,no",uart
baud generator,pre-scaler division,,is-a-property,bool,"yes,no",uart
fifo,implemented,,,bool,"yes,no",uart
fifo,enable,select,,bool,"yes,no",uart
errors,overrun,,is-a-property,bool,"yes,no",uart
errors,frame,framing,is-a-property,bool,"yes,no",uart
errors,break,,is-a-property,bool,"yes,no",uart
errors,parity,,is-a-property,bool,"yes,no",uart
registers,receiver holding,receiver buffer,is-a-property,bool,"yes,no",uart
registers,transmitter holding,transmitter buffer,is-a-property,bool,"yes,no",uart
registers,interrupt enable,,is-a-property,bool,"yes,no",uart
registers,interrupt status,,is-a-property,bool,"yes,no",uart
registers,interrupt identification,,,bool,"yes,no",uart
registers,FIFO control,,is-a-property,bool,"yes,no",uart
registers,line control,,is-a-property,bool,"yes,no",uart
registers,modem control,,is-a-property,bool,"yes,no",uart
registers,line status,,is-a-property,bool,"yes,no",uart
registers,modem status,,is-a-property,bool,"yes,no",uart
registers,scratch,,is-a-property,bool,"yes,no",uart
registers,divisor latch,,is-a-property,bool,"yes,no",uart
registers,prescaler division,,is-a-property,bool,"yes,no",uart
registers,status,,is-a-property,bool,"yes,no",uart
